sampling_date,sampling_month,confirmed_cases,sars_cov_2_virus,acetaminophen,atenolol,caffeine,carbamazepine,cotinine,diltiazem,diphenhydramine,metoprolol,nicotine,paraxanthine,sulfamethoxazole,trimethoprim,venlafaxine,chloroquine,desethyl_chloroquine,desethyl_hydroxychloroquine,hydroxychloroquine,remdesivir
2020-06-03,2022-06-,5,6360,84.2337,1.0979,79.6019,0.1801,1.6428,0.2406,1.8253,1.5013,6.0996,33.4851,0.6998,0.2096,0.4584,0.0316,0.0172,0.0033,0.0514,0.0033
2020-06-04,2022-06-,5,22542,73.2644,1.1435,63.3296,0.2045,1.6004,0.3227,1.4149,1.4119,3.6637,28.9734,0.7685,0.1935,0.4286,0.0005,0.0028,0.0023,0.0335,0.0024
2020-06-05,2022-06-,5,6621,65.2146,1.1152,60.7721,0.1858,1.7303,0.2068,1.0319,1.4713,3.0672,21.8171,0.7547,0.186,0.419,0.0005,0.0024,0.0019,0.032,0.0015
2020-06-06,2022-06-,6,15756,80.1252,1.1007,61.836,0.158,1.4549,0.1898,1.4018,1.3638,3.225,20.9642,0.6831,0.2103,0.3875,0.0411,0.0306,0.0039,0.0938,0.0041
2020-06-07,2022-06-,6,22542,64.222,1.0453,52.1289,0.1632,1.4713,0.2271,1.0291,1.2884,3.1606,20.2573,0.7014,0.1955,0.3818,0.0005,0.0039,0.0032,0.0608,0.0018
2020-06-08,2022-06-,8,20358,72.4808,1.007,58.1219,0.1401,1.7933,0.2356,0.7202,1.2274,4.0359,20.8633,0.5987,0.1973,0.3875,0.0005,0.0015,0.0011,0.0119,0.0007
2020-06-09,2022-06-,8,272058,63.6294,1.06,58.7803,0.1476,1.4724,0.2693,1.1806,1.4057,3.1898,21.094,0.4994,0.1784,0.4381,0.0005,0.0044,0.003,0.0592,0.0023
2020-06-16,2022-06-,10,12537,104.6129,1.0303,64.5518,0.151,1.5683,0.3365,1.225,1.4849,3.0415,19.5303,0.5887,0.1985,0.4247,0.0013,0.0037,0.0031,0.0417,0.0022
2020-06-23,2022-06-,10,71258,65.5677,1.0062,48.1868,0.1287,1.4095,0.233,1.011,1.3345,3.0669,17.7065,0.813,0.1985,0.4559,0.0005,0.0036,0.0027,0.0371,0.0021
2020-06-30,2022-06-,10,15147,101.2059,1.0411,61.6636,0.1819,1.7607,0.3532,2.0637,1.4025,3.3578,20.1771,0.8103,0.2046,0.4524,0.0005,0.0032,0.0029,0.0472,0.0025
