sampling_date,confirmed_cases,sars_cov_2_virus
2022-01-10,1003,354119
2022-01-11,865,643684
2022-01-13,790,509849
2022-01-18,527,182729
2022-01-20,427,74298
2022-01-24,305,34061
2022-01-26,258,63749
2022-01-31,159,42869
2022-02-02,128,45479
2022-02-07,96,16313
2022-02-10,76,56876
2022-02-14,48,16856
2022-02-24,28,37519
2022-02-28,22,11093
2022-03-03,22,52320
2022-03-07,20,32092
2022-03-10,17,39813
2022-03-14,19,8493
2022-03-17,20,25404
2022-03-21,19,87
2022-03-24,22,42630
2022-03-28,28,8276
2022-03-31,36,10320
2022-04-04,42,8319
2022-04-07,46,58138
2022-04-11,61,68904
2022-04-12,63,25187
2022-04-14,72,34931
2022-04-18,59,95613
2022-04-19,58,90067
2022-04-21,60,91861
2022-04-25,55,133295
2022-04-26,75,118614
2022-04-28,99,26611
2022-05-02,115,57605
2022-05-03,106,117744
2022-05-06,106,169433
2022-05-09,122,83085
2022-05-10,137,77974
